care,n.注意，小心 v.关心
hose,n.软水管，长统袜
house,n.房子，剧场，家
how,adv.如何，多么，怎样
however,adv.可是，然而
human,adj.人的，人类的
i,.我
idea,n.思想，主意，打算
important,adj.重要的，重大的
income,n.收入，所得
increase,v.,n.增加，增长
increasing,adj.不断增长的
independence,n.独立，自主
index,n.索引，标志，指数
industry,n.工业，产业，勤奋
information,n.通知，情报，资料
instance,n.例子
integration,n.结合，整体
interest,n.兴趣，利息，利益
international,adj.国际的
itself,pron.它自己
jet,v.喷射 v.喷气发动机
job,n.工作，活儿，差使
justice,n.公正，正直
keep,v.保持，保留，防止
key,n.钥匙，关键，答案
lack,v.,n.缺少
land,n.陆地，土地 v.着陆
language,n.语言
large,adj.大的，巨大的
last,adj.最后的 adv.上次
late,adj.迟到的，晚的
later,adv.更晚，以后，过后
law,n.法律，定律
lay,v.放，安排，打基础
lead,v.引导，领先，率领
leader,n.领导，领袖
leadership,n.领导
leading,adj.领先的，一流的
leave,v.出发，离开 n.休假
left,adj.左的 adv.向左
let,v.让，使
level,n.水平，级 v.弄平
life,n.生活，生命，一生
likely,adj.可信的adv.很可能
line,n.行，线条，界线
little,adj.小的，一点，少的
look,v.看，看上去 n.外表
lost,adj.失去的
lot,n.许多，地 adv.相当
low,adj.低的，低廉的
lower,v.降低，减弱
main,adj.主要的
majority,n.多数，过半数
man,n.人，男人，人类
market,n.市场，销路
means,n.手段，财力
meet,v.遇到，会见，迎接
middle,n.当中 adj.中部的
military,adj.军事的，好斗的
minister,n.教士，部长，大臣
mobile,adj.机动的，流动的
moderate,adj.适度的 v.缓和
monetary,adj.货币的，金融的
money,n.金钱，货币，财富
move,v.移动，推动，搬家
music,n.音乐，乐曲
must,v.必须，准是 n.必须
national,adj.民族的，国家的
near,adv.近 adj.近的
nearly,adv.几乎，差不多
need,n.需要，贫困 v.需要
never,adv.从不，永不，未曾
newspaper,n.报纸，新闻纸
next,adv.下一次，然后
north,n.北，北方 adj.北的
northern,adj.北方的，北部的
number,n.数字，若干，号码
offer,v.,n.提供，报盘
office,n.办公室，事务所
official,n.官员 adj.官方的
often,adv.经常，常常
old,adj.老的，...岁的
once,adv.一度，一次
open,adj.开的 v.打开
operation,n.操作，生效，手术
opposition,n.敌对，反抗
order,n.命令，订货，次序
ore,n.矿石，矿物
our,pron.我们的
own,adj.自己的 v.拥有
part,n.部分，零件，角色
particular,adj.特殊的 n.项目
particularly,adv.特别地
party,n.聚会，政党，一方
pay,v.支付 n.工资
peace,n.和平，平静，和约
per,prep.每，由，按照
percentage,n.百分率
perhaps,adv.也许，多半
person,n.人，人称，身体
picture,n.图片，画，照片
place,n.地方，位置 v.放置
plan,n.计划,平面图 v.打算
point,n.尖，点，分 v.指
policy,n.政策，方针，保险单
politics,n.政治学，政治活动
poor,adj.穷的，差的
population,n.人口
possible,adj.可能的
potential,adj.潜在的 n.潜力
power,n.力，动力，权力
prediction,n.预言，预报
presidential,adj.总统的
pressure,n.压力，繁忙，紧迫
price,n.价格，代价 v.定价
prime,adj.首要的，第一的
private,adj.私人的，秘密的
prize,n.奖品，奖赏
probably,adv.或许，大概
problem,n.课题，难题，问题
process,n.程序，过程 v.处理
promise,v.允诺，预示 n.诺言
proportion,n.比例，部分
provide,v.供给，提供，准备
put,v.放置，估价，表达
quarter,n.四分之一，一刻钟
question,n.问题，疑问 v.询问
quickly,adv.快，迅速地
race,n.种族，竞赛 v.赛跑
raise,v.举起，提高，唤起
rather,adv.相当，颇，宁愿
real,adj.真的，纯粹的
really,adv.真正地，果然
reason,n.原因，理由 v.推论
recently,adv.近来，最近
recession,n.衰退
record,v.记录，录音 n.记录
reduce,v.减少，贬为
reform,v.,n.改革，改造
refugee,n.难民
region,n.地区，地域，地带
regional,adj.地区的，区域的
religious,adj.宗教的，信教的
remain,n.依旧的，剩余，逗留
remains,n.剩余，遗迹，遗体
report,v.报告，报导，报道
research,v.,n.调查，研究
response,v.答复，反应，响应
responsible,adj.负责的，尽责的
result,n.结果，效果，后果
return,v.回归，归还 n.归来
revolution,n.革命，变革
rich,adj.富的，富饶的
right,adj.正确的，右的
rise,v.起立，晋级，增长
risk,n.,v.冒险，风险
rival,n.对手 adj.竞争的
road,n.道路，路
role,n.角色，作用
rule,n.法规，常规，统治
ruling,adj.统治的
run,v.跑，竞选，行驶
same,adj.同样的
saw,v.,n.锯
say,v.说 n.发言(权)
school,n.学校，上学，学系
science,n.科学，学科
sea,n.海，海洋
second,num.第二 n.第二，秒
security,n.安全，有价证券
seem,v.好象，似乎
self,n.自己，自身，品质
senior,adj.年长的，老资格的
sense,n.感官，感觉，见识
serious,adj.慎重的，严重的
service,n.服务，公共设施
set,v.放，指定 n.全套
seven,num.七
several,adj.几个
sex,n.性，性别
share,n.份，股份 v.分配
short,adj.短的，矮的
show,v.显示，表明 n.演出
side,n.边，面，侧面，一方
similar,adj.类似的，相象的
single,adj.单个的，单身的
site,n.场所，场地
six,num.六
small,adj.小的，不重要的
social,adj.社会的，社会性的
software,n.软件
something,pron.某事，某物
sometimes,adv.有时，不时
soon,adv.不久，很快，早
sort,n.种类 v.分类，拣
southern,adj.南的，南方的
species,n.物种，种类
speed,n.速度 v.飞驰
stable,adj.稳固的，稳定的
staff,n.工作人员，棒子
standard,n.标准 adj.标准的
start,v.开始，着手，发动
status,n.形势，身分
story,n.故事，小说，经历
strategy,n.战略，策略，计谋
strike,v.打，攻击，罢工
strong,adj.强壮的，强烈的
success,n.成功
supply,v.供应，供给
support,v.支持，资助，支援
surprise,v.使惊诧 n.惊奇
system,n.系统，体制，制度
take,v.拿，带，吃，乘
tank,n.油箱，水箱，坦克
technology,n.技术，工艺
ten,num.十
tend,v.趋向，照料，投标
term,n.期限，学期，术语
thanks,n.感谢 int.谢谢
themselves,pron.他们、它们自己
then,adv.当时，然后，那么
therefore,adv.因而，所以
these,pron.这些
think,v.想，相信，认为
third,num.第三，三分之一
thought,n.想法，思想，关怀
thus,adv.如此，这样，因而
today,adv.今天,现在 n.今日
together,adv.共同，一起，同时
top,n.顶，盖子 v.高于
trade,n.贸易，交换 v.经商
trap,n.陷井，圈套 v.诱捕
travel,v.旅行，传导
true,adj.真实的，真正的
try,v.尝试，审讯 n.尝试
turn,v.转向，旋转 n.轮流
union,n.联合，联盟，联合会
university,n.大学
until,prep.,conj.到...为止
use,v.使用 n.用途，利用
value,n.价值 v.评价，估价
very,adv.很，非常
victory,n.胜利
view,n.视域，景色，见解
violence,n.猛烈，暴力，暴行
visa,n.签证
vote,n.投票(权)，得票数
want,v.想要，通辑 n.缺乏
water,n.水 v.浇水，垂涎
week,n.星期，周，工作周
welcome,adj.受欢迎的 v.欢迎
whaling,n.捕鲸(业)
whether,conj.是否，还是...
while,n.一会儿 conj.当..时
whole,adj.全部的 n.全部
whose,pron.谁的
why,adv.为什么
widely,adv.广泛地，非常
win,v.赢得，成功
wing,n.翅膀，翼，派别
within,prep.,adv.在...内
without,prep.没有，在...外部
work,n.劳动，工作，作品
works,n.工厂
worry,v.,v.烦恼，担心
worth,n.价值 adj.值...的
yet,adv.仍然，还，尚
you,pron.你，你们
young,adj.年轻的 n.青年人
your,pron.你的，你们的
zero,n.零，零度
